District,Mandal,Date,Rain (mm),Min Temp (°C),Max Temp (°C),Min Humidity (%),Max Humidity (%),Min Wind Speed (Kmph),Max Wind Speed (Kmph)
Adilabad,Adilabad Rural,,0.96,22.59,36.81,31.31,70.77,0.42,12.49
Adilabad,Adilabad Urban,,0.98,22.77,39.22,21.72,70.15,0.00,6.22
Adilabad,Bazarhathnoor,,2.13,19.02,34.57,41.66,85.16,0.00,5.51
Adilabad,Bela,,0.26,21.85,38.90,17.02,72.31,0.32,11.17
Adilabad,Bheempoor,,0.28,20.62,38.86,28.44,73.22,0.37,10.46
Adilabad,Boath,,0.47,19.63,37.09,26.52,77.57,0.00,11.21
Adilabad,Gadiguda,,0.13,21.42,35.65,29.15,73.66,0.16,10.21
Adilabad,Gudihathnur,,0.57,21.78,36.59,29.58,69.72,0.11,7.86
Adilabad,Ichoda,,0.68,20.62,35.90,34.03,79.08,0.22,6.40
Adilabad,Inderavelly,,0.43,21.75,36.77,29.77,70.15,0.14,13.62
Adilabad,Jainad,,0.57,21.25,38.96,22.33,79.38,0.02,9.49
Adilabad,Mavala,,0.71,22.48,37.51,28.18,70.87,0.00,5.92
Adilabad,Narnoor,,0.10,22.50,36.40,24.85,68.36,0.00,8.98
Adilabad,Neradigonda,,0.11,20.15,36.99,30.84,75.06,0.00,8.49
Adilabad,Sirikonda,,0.60,21.35,38.16,27.49,74.28,0.22,7.59
Adilabad,Talamadugu,,0.75,21.38,39.02,28.27,80.03,0.00,9.21
Adilabad,Tamsi,,0.55,21.85,37.06,40.64,73.27,0.00,6.70
Adilabad,Utnur,,0.12,21.44,35.74,31.65,75.36,0.07,12.40
Bhadradri Kothagudem,Allapalli,,0.00,22.52,36.63,36.67,92.85,0.00,7.67
Bhadradri Kothagudem,Annapureddipalle,,0.00,23.54,35.59,39.44,99.92,0.30,10.38
Bhadradri Kothagudem,Aswapuram,,0.00,23.92,37.97,42.76,99.40,0.00,0.53
Bhadradri Kothagudem,Aswaraopeta,,0.01,22.98,34.13,50.76,99.87,0.01,9.42
Bhadradri Kothagudem,Bhadrachalam,,0.00,23.56,38.58,51.70,87.51,0.00,1.17
Bhadradri Kothagudem,Burgampadu,,0.00,23.49,36.25,57.39,100.00,0.00,6.75
Bhadradri Kothagudem,Chandrugonda,,0.00,23.26,36.52,30.41,98.23,0.00,16.72
Bhadradri Kothagudem,Cherla,,0.01,23.82,35.89,44.15,93.51,0.02,8.96
Bhadradri Kothagudem,Chunchupally,,0.00,22.82,38.20,51.56,80.15,0.00,4.74
Bhadradri Kothagudem,Dammapeta,,0.00,21.78,36.06,42.35,100.00,0.95,13.33
Bhadradri Kothagudem,Dummugudem,,0.00,23.62,36.38,43.93,96.41,0.00,1.40
Bhadradri Kothagudem,Gundala,,0.03,22.57,36.65,36.48,99.00,0.00,11.08
Bhadradri Kothagudem,Julurpad,,0.00,21.49,37.36,43.82,96.18,0.11,8.86
Bhadradri Kothagudem,Karakagudem,,0.02,23.23,36.05,35.43,90.53,0.00,6.14
Bhadradri Kothagudem,Kothagudem,,0.00,22.93,37.77,50.30,84.53,0.17,7.22
Bhadradri Kothagudem,Laxmidevipalli,,0.00,22.89,37.95,59.02,89.08,0.01,3.03
Bhadradri Kothagudem,Manuguru,,0.01,23.62,36.38,43.93,96.41,0.01,3.81
Bhadradri Kothagudem,Mulakalapalle,,0.00,23.31,36.01,48.93,99.91,0.00,6.77
Bhadradri Kothagudem,Palawancha,,0.00,22.22,38.28,39.75,98.53,0.00,6.60
Bhadradri Kothagudem,Pinapaka,,0.09,24.14,35.90,33.66,93.95,0.00,12.16
Bhadradri Kothagudem,Sujathanagar,,0.00,23.28,38.24,31.75,89.55,0.11,8.86
Bhadradri Kothagudem,Tekulapalle,,0.00,22.45,35.86,40.02,91.72,0.16,7.63
Bhadradri Kothagudem,Yellandu,,0.00,22.82,36.49,41.33,96.44,0.02,2.45
Hanumakonda,Atmakur,,0.00,22.12,35.30,45.95,98.30,0.00,8.09
Hanumakonda,Bheemadevarapalle,,0.04,23.75,35.40,41.56,94.59,0.00,0.53
Hanumakonda,Damera,,0.01,22.63,36.45,38.03,97.96,0.42,10.31
Hanumakonda,Dharmasagar,,0.02,22.34,37.26,28.63,89.53,0.00,6.96
Hanumakonda,Elkathurthi,,0.13,22.60,35.67,38.15,96.34,0.00,2.14
Hanumakonda,Hanumakonda,,0.01,22.85,35.40,42.46,86.01,0.05,8.14
Hanumakonda,Hasanparthy,,0.07,23.05,35.26,42.00,92.31,0.03,5.54
Hanumakonda,Inole,,0.04,21.95,35.77,29.35,97.76,0.06,10.23
Hanumakonda,Kamalapur,,0.19,22.43,36.28,37.16,97.32,0.00,13.40
Hanumakonda,Khazipet,,0.03,22.45,35.73,35.26,91.76,0.05,8.65
Hanumakonda,Nadikuda,,0.01,23.39,37.33,39.50,91.65,0.11,11.22
Hanumakonda,Parkal,,0.10,23.87,34.01,41.58,85.69,0.00,10.32
Hanumakonda,Shayampet,,0.05,22.72,35.37,41.68,92.35,0.00,6.13
Hanumakonda,Velair,,0.03,22.02,34.79,44.93,92.80,0.00,11.48
Hyderabad,Amberpet,,0.00,23.10,36.55,25.53,72.83,0.54,12.61
Hyderabad,Ameerpet,,0.00,24.61,35.19,38.06,68.77,0.12,6.25
Hyderabad,Asifnagar,,0.00,24.20,37.95,23.81,69.75,0.44,9.65
Hyderabad,Bahadurpura,,0.00,22.16,37.35,23.15,80.66,1.38,18.09
Hyderabad,Bandlaguda,,0.01,23.45,37.41,27.17,72.40,0.13,12.57
Hyderabad,Charminar,,0.00,24.92,37.56,22.87,76.40,0.55,9.85
Hyderabad,Golkonda,,0.03,23.55,37.56,21.92,69.71,0.06,6.95
Hyderabad,Himayatnagar,,0.00,25.34,36.25,25.65,70.88,0.02,1.98
Hyderabad,Khairatabad,,0.00,24.45,37.87,23.28,71.11,0.96,11.27
Hyderabad,Maredpally,,0.00,22.13,37.89,25.62,80.20,0.20,9.03
Hyderabad,Musheerabad,,0.00,23.31,37.33,23.47,75.76,0.45,10.81
Hyderabad,Nampally,,0.00,24.35,38.04,27.46,71.79,0.35,11.00
Hyderabad,Saidabad,,0.00,24.17,36.81,29.03,79.56,0.29,16.07
Hyderabad,Secunderabad,,0.00,23.16,38.05,23.32,75.42,1.75,14.97
Hyderabad,Shaikpet,,0.00,23.26,38.09,24.03,72.06,0.67,11.39
Hyderabad,Tirumalgiri,,0.05,23.47,35.94,35.32,74.77,0.00,4.85
Jagtial,19,,0.03,22.08,36.60,42.69,89.89,0.05,8.07
Jagtial,20,,0.44,21.96,35.60,35.39,87.94,0.06,8.69
Jagtial,Beerpur,,0.00,21.35,37.38,35.54,92.36,0.00,6.53
Jagtial,Buggaram,,0.02,24.14,35.86,43.44,95.28,0.00,3.66
Jagtial,Dharmapuri,,0.00,21.46,38.38,33.83,90.56,0.00,8.81
Jagtial,Gollapalle,,0.01,22.45,35.52,36.44,82.25,0.00,7.04
Jagtial,Ibrahimpatnam,,0.17,21.82,37.62,33.55,88.46,0.00,8.12
Jagtial,Jagityal_Rural,,0.00,24.10,36.37,29.83,76.89,0.01,5.82
Jagtial,Jagtial,,0.02,22.86,35.73,40.13,84.73,0.03,7.44
Jagtial,Kathlapur,,0.06,22.00,36.49,28.76,86.73,0.00,8.08
Jagtial,Kodimial,,0.29,22.09,35.21,29.55,86.86,0.25,9.78
Jagtial,Koratla,,0.07,22.19,37.13,29.80,94.25,0.00,7.63
Jagtial,Malial,,0.13,21.77,36.08,29.47,76.46,0.13,8.34
Jagtial,Mallapur,,0.05,21.22,38.33,30.33,93.03,0.00,7.41
Jagtial,Medipalle,,0.00,22.09,36.46,36.80,85.22,0.04,6.16
Jagtial,Metpalle,,0.07,21.95,36.82,37.65,87.26,0.00,6.96
Jagtial,Pegadapalle,,0.04,21.37,36.06,46.11,93.73,0.00,3.13
Jagtial,Raikal,,0.12,21.70,37.42,38.35,88.55,0.03,4.48
Jagtial,Sarangapur,,0.00,21.99,37.02,37.96,80.93,0.00,5.79
Jagtial,Velgatoor,,0.03,22.11,38.03,34.44,92.09,0.00,10.92
Jangaon,Bachannapeta,,0.00,20.65,36.41,29.42,93.35,0.46,10.18
Jangaon,Chilpur,,0.00,20.79,36.64,37.75,95.96,0.00,10.25
Jangaon,Devaruppala,,0.01,21.93,35.27,40.34,94.25,0.02,9.92
Jangaon,Ganpur_Stn,,0.01,21.88,35.33,39.25,94.43,0.00,12.35
Jangaon,Jangaon,,0.05,21.34,36.40,36.23,92.42,0.37,11.33
Jangaon,Kodakandla,,0.00,22.13,35.15,41.92,95.73,0.02,10.31
Jangaon,Lingalaghanpur,,0.00,21.30,35.05,37.11,100.00,0.00,10.82
Jangaon,Narmetta,,0.00,21.77,34.55,42.97,93.77,0.01,9.10
Jangaon,Palakurthi,,0.00,20.95,36.32,38.15,95.82,0.01,13.09
Jangaon,Raghunathpalle,,0.03,21.62,35.93,39.55,93.32,0.00,8.98
Jangaon,Tharigoppula,,0.01,21.74,34.45,39.20,96.05,0.87,14.10
Jangaon,Zaffergadh,,0.08,21.15,36.66,35.02,90.94,0.05,12.49
Jayashankar,Bhupalpalle,,0.12,23.93,36.85,33.09,82.89,0.00,3.63
Jayashankar,Chityal,,0.41,22.36,37.77,33.74,91.84,0.14,11.54
Jayashankar,Ghanapur_Mulug,,0.06,23.65,36.85,45.87,92.01,0.00,4.97
Jayashankar,Kataram,,0.05,22.58,37.55,34.59,88.85,0.00,8.95
Jayashankar,Mahadevpur,,0.05,22.32,38.33,32.36,87.46,0.00,11.79
Jayashankar,Malharrao,,0.19,22.45,37.99,32.14,92.98,0.00,8.42
Jayashankar,Mogullapalle,,0.45,22.66,36.00,42.15,93.21,0.00,12.17
Jayashankar,Mutharam_Mahadevpur,,0.10,22.82,36.43,42.29,81.37,0.29,13.69
Jayashankar,Palmela,,0.05,23.17,36.43,37.78,86.85,0.00,19.06
Jayashankar,Regonda,,0.13,22.65,38.16,35.55,93.94,0.00,10.37
Jayashankar,Tekumatla,,0.39,22.27,34.41,38.45,99.31,0.43,12.19
Jogulamba Gadwal,Aiza,,0.00,23.26,38.73,22.43,70.14,0.32,13.45
Jogulamba Gadwal,Alampur,,0.00,24.31,38.92,24.71,65.71,0.95,13.96
Jogulamba Gadwal,Dharur,,0.00,23.01,39.14,21.66,78.12,0.04,12.13
Jogulamba Gadwal,Gadwal,,0.00,24.71,38.92,20.37,61.84,0.07,9.26
Jogulamba Gadwal,Ghattu,,0.00,24.29,36.40,21.69,67.34,0.00,11.20
Jogulamba Gadwal,Itikyal,,0.00,23.50,39.00,18.10,76.68,0.43,13.07
Jogulamba Gadwal,Kaloor_Timmanadoddi,,0.00,24.66,38.74,16.53,69.07,1.50,16.69
Jogulamba Gadwal,Maldakal,,0.00,22.76,37.76,26.48,77.30,0.04,9.19
Jogulamba Gadwal,Manopad,,0.00,24.05,36.96,24.39,61.32,0.29,12.92
Jogulamba Gadwal,Rajoli,,0.00,24.34,38.22,18.04,70.66,0.09,8.42
Jogulamba Gadwal,Undavelli,,0.00,23.84,37.95,19.09,68.64,0.10,13.99
Jogulamba Gadwal,Waddepalle,,0.00,23.01,39.19,21.56,69.29,0.00,6.46
Kamareddy,23,,0.06,22.42,36.32,35.25,82.06,1.02,5.42
Kamareddy,24,,1.01,21.02,37.15,31.69,93.16,0.15,11.23
Kamareddy,Banswada,,1.14,21.39,34.48,33.57,83.87,0.00,8.12
Kamareddy,Bhiknur,,1.10,24.15,37.60,39.09,83.97,0.00,16.43
Kamareddy,Bibipet,,1.33,22.27,36.01,33.95,86.66,0.05,9.21
Kamareddy,Bichkunda,,0.52,21.88,37.99,19.51,80.17,0.00,8.26
Kamareddy,Birkoor,,0.61,21.31,34.38,42.87,90.25,0.00,5.19
Kamareddy,Domakonda,,1.31,21.22,36.57,44.80,75.69,0.01,6.63
Kamareddy,Gandhari,,0.79,20.10,37.16,18.15,94.01,0.00,10.15
Kamareddy,Jukkal,,0.20,22.07,36.12,29.58,71.30,0.00,10.46
Kamareddy,Kamareddy,,0.82,23.85,37.69,26.25,85.39,1.76,10.52
Kamareddy,Lingampet,,0.07,21.95,35.73,22.84,84.64,0.00,8.78
Kamareddy,Machareddy,,0.86,21.68,34.85,34.48,85.64,0.00,7.03
